exactModelId,lifecycle,name,baseModelIdRaw,version,supportedGenerationMethods,thinkingRaw,control,defaultValue,levels,budgetRange,zero,minusOne,canDisable,evidence,verifiedAt
"antigravity-preview-05-2026","preview name; deprecated status not exposed by Models API","models/antigravity-preview-05-2026","missing (own-property=false)","0.1","generateContent;countTokens","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"deep-research-max-preview-04-2026","preview name; deprecated status not exposed by Models API","models/deep-research-max-preview-04-2026","missing (own-property=false)","deepthink-exp-05-20","generateContent;countTokens","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"deep-research-preview-04-2026","preview name; deprecated status not exposed by Models API","models/deep-research-preview-04-2026","missing (own-property=false)","deepthink-exp-05-20","generateContent;countTokens","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"deep-research-pro-preview-12-2025","preview name; deprecated status not exposed by Models API","models/deep-research-pro-preview-12-2025","missing (own-property=false)","deepthink-exp-05-20","generateContent;countTokens","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-2.0-flash","stable name; deprecated status not exposed by Models API","models/gemini-2.0-flash","missing (own-property=false)","2.0","generateContent;countTokens;createCachedContent;batchGenerateContent","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-2.0-flash-001","stable name; deprecated status not exposed by Models API","models/gemini-2.0-flash-001","missing (own-property=false)","2.0","generateContent;countTokens;createCachedContent;batchGenerateContent","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-2.0-flash-lite","stable name; deprecated status not exposed by Models API","models/gemini-2.0-flash-lite","missing (own-property=false)","2.0","generateContent;countTokens;createCachedContent;batchGenerateContent","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-2.0-flash-lite-001","stable name; deprecated status not exposed by Models API","models/gemini-2.0-flash-lite-001","missing (own-property=false)","2.0","generateContent;countTokens;createCachedContent;batchGenerateContent","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-2.5-computer-use-preview-10-2025","preview name; deprecated status not exposed by Models API","models/gemini-2.5-computer-use-preview-10-2025","missing (own-property=false)","Gemini 2.5 Computer Use Preview 10-2025","generateContent;countTokens","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-2.5-flash","stable name; deprecated status not exposed by Models API","models/gemini-2.5-flash","missing (own-property=false)","001","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","budget","dynamic thinking","not applicable; thinkingLevel unsupported","0..24576","0; disables thinking","-1; dynamic thinking (default)","yes","Gemini GenerateContent Thinking guide, thinking-budget table","2026-07-23T20:33:38.645Z"
"gemini-2.5-flash-image","stable name; deprecated status not exposed by Models API","models/gemini-2.5-flash-image","missing (own-property=false)","2.0","generateContent;countTokens;batchGenerateContent","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-2.5-flash-lite","stable name; deprecated status not exposed by Models API","models/gemini-2.5-flash-lite","missing (own-property=false)","001","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","budget","model does not think","not applicable; thinkingLevel unsupported","512..24576","0; disables thinking","-1; dynamic thinking","yes; default is already no-thinking","Gemini GenerateContent Thinking guide, thinking-budget table","2026-07-23T20:33:38.645Z"
"gemini-2.5-flash-preview-tts","preview name; deprecated status not exposed by Models API","models/gemini-2.5-flash-preview-tts","missing (own-property=false)","gemini-2.5-flash-exp-tts-2025-05-19","countTokens;generateContent","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-2.5-pro","stable name; deprecated status not exposed by Models API","models/gemini-2.5-pro","missing (own-property=false)","2.5","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","budget","dynamic thinking","not applicable; thinkingLevel unsupported","128..32768","not allowed; cannot disable","-1; dynamic thinking (default)","no","Gemini GenerateContent Thinking guide, thinking-budget table","2026-07-23T20:33:38.645Z"
"gemini-2.5-pro-preview-tts","preview name; deprecated status not exposed by Models API","models/gemini-2.5-pro-preview-tts","missing (own-property=false)","gemini-2.5-pro-preview-tts-2025-05-19","countTokens;generateContent;batchGenerateContent","missing (own-property=false)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-3-flash-preview","preview name; deprecated status not exposed by Models API","models/gemini-3-flash-preview","missing (own-property=false)","3-flash-preview-12-2025","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","level","on (high; dynamic)","minimal, low, medium, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no; Gemini 3 Flash has no full thinking-off","Gemini GenerateContent Thinking guide, Gemini 3 Flash table","2026-07-23T20:33:38.645Z"
"gemini-3-pro-image","stable name; deprecated status not exposed by Models API","models/gemini-3-pro-image","missing (own-property=false)","3.0","generateContent;countTokens;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-3-pro-image-preview","preview name; deprecated status not exposed by Models API","models/gemini-3-pro-image-preview","missing (own-property=false)","3.0","generateContent;countTokens;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-3-pro-preview","preview name; deprecated status not exposed by Models API","models/gemini-3-pro-preview","missing (own-property=false)","3-pro-preview-11-2025","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-3.1-flash-image","stable name; deprecated status not exposed by Models API","models/gemini-3.1-flash-image","missing (own-property=false)","3.0","generateContent;countTokens;batchGenerateContent","true (boolean)","level","on (minimal)","minimal, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no; image thinking cannot be disabled","Gemini image generation guide, image thinking-level table","2026-07-23T20:33:38.645Z"
"gemini-3.1-flash-image-preview","preview name; deprecated status not exposed by Models API","models/gemini-3.1-flash-image-preview","missing (own-property=false)","3.0","generateContent;countTokens;batchGenerateContent","true (boolean)","level","on (minimal)","minimal, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no; image thinking cannot be disabled","Gemini image generation guide, image thinking-level table","2026-07-23T20:33:38.645Z"
"gemini-3.1-flash-lite","stable name; deprecated status not exposed by Models API","models/gemini-3.1-flash-lite","missing (own-property=false)","3.1-flash-lite-05-2026","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","level","on (minimal)","minimal, low, medium, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no; Flash-Lite has no full thinking-off","Gemini GenerateContent Thinking guide, Gemini Flash-Lite table","2026-07-23T20:33:38.645Z"
"gemini-3.1-flash-lite-image","stable name; deprecated status not exposed by Models API","models/gemini-3.1-flash-lite-image","missing (own-property=false)","3.0","generateContent;countTokens;batchGenerateContent","true (boolean)","level","on (minimal)","minimal, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no; image thinking cannot be disabled","Gemini image generation guide, image thinking-level table","2026-07-23T20:33:38.645Z"
"gemini-3.1-flash-lite-preview","preview name; deprecated status not exposed by Models API","models/gemini-3.1-flash-lite-preview","missing (own-property=false)","3.1-flash-lite-preview-03-2026","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-3.1-flash-tts-preview","preview name; deprecated status not exposed by Models API","models/gemini-3.1-flash-tts-preview","missing (own-property=false)","3.1-flash-tts-preview","generateContent;countTokens;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-3.1-pro-preview","preview name; deprecated status not exposed by Models API","models/gemini-3.1-pro-preview","missing (own-property=false)","3.1-pro-preview-01-2026","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","level","on (high; dynamic)","low, medium, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no","Gemini GenerateContent Thinking guide, Gemini 3.1 Pro table","2026-07-23T20:33:38.645Z"
"gemini-3.1-pro-preview-customtools","preview name; deprecated status not exposed by Models API","models/gemini-3.1-pro-preview-customtools","missing (own-property=false)","3.1-pro-preview-01-2026","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","unknown","not established by the cited GenerateContent thinking tables","unknown","unknown","unknown","unknown","unknown","Models API raw metadata only; exact GenerateContent thinking control evidence not identified in this audit","2026-07-23T20:33:38.645Z"
"gemini-3.5-flash","stable name; deprecated status not exposed by Models API","models/gemini-3.5-flash","missing (own-property=false)","3.5-flash-05-2026","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","level","on (medium)","minimal, low, medium, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no; minimal is not full thinking-off","Gemini GenerateContent Thinking guide, Gemini 3 table","2026-07-23T20:33:38.645Z"
"gemini-3.5-flash-lite","stable name; deprecated status not exposed by Models API","models/gemini-3.5-flash-lite","missing (own-property=false)","3.5-flash-lite-07-2026","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","level","on (minimal)","minimal, low, medium, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no; Flash-Lite has no full thinking-off","Gemini GenerateContent Thinking guide, Gemini Flash-Lite table","2026-07-23T20:33:38.645Z"
"gemini-3.6-flash","stable name; deprecated status not exposed by Models API","models/gemini-3.6-flash","missing (own-property=false)","3.6-flash-07-2026","generateContent;countTokens;createCachedContent;batchGenerateContent","true (boolean)","level","on (medium)","minimal, low, medium, high","not specified by the level table","not applicable; minimal is not guaranteed off","not applicable","no; minimal is not full thinking-off","Gemini GenerateContent Thinking guide, Gemini 3 table","2026-07-23T20:33:38.645Z"
